index	question	sentence	label
1177	C[C@@H]1CC[C@H](C(C)(C)O)O[C@H]2C[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)C(=O)CC[C@@]56C[C@@]46CC[C@]3(C)[C@H]21	C[C@@H]1CC[C@H](C(C)(C)O)O[C@H]2C[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)OC(=O)CC[C@@]56C[C@@]46CC[C@]3(C)[C@H]21	entailment
1178	CC(=O)N[C@H]1CC(=O)[C@@H](C)[C@@H]1O	CC(=O)N[C@H]1CC(=O)O[C@@H](C)[C@@H]1O	entailment
1179	CC(=O)N[C@H]1CC(=O)[C@@H](C)[C@@H]1O	CC(=O)N[C@H]1COC(=O)[C@@H](C)[C@@H]1O	not_entailment
1180	COc1cccc(C(=O)CC2(O)c3ccccc3-n3c2nc2ccccc2c3=O)c1	COc1cccc(C(=O)OCC2(O)c3ccccc3-n3c2nc2ccccc2c3=O)c1	not_entailment
1181	COc1cccc(C(=O)CC2(O)c3ccccc3-n3c2nc2ccccc2c3=O)c1	COc1cccc(OC(=O)CC2(O)c3ccccc3-n3c2nc2ccccc2c3=O)c1	entailment
1182	CCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)C(=O)CC[C@H]4[C@@H]3C[C@@H](Br)[C@@]2(Br)C1	CCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)C(=O)OCC[C@H]4[C@@H]3C[C@@H](Br)[C@@]2(Br)C1	not_entailment
1183	CCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)C(=O)CC[C@H]4[C@@H]3C[C@@H](Br)[C@@]2(Br)C1	CCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)OC(=O)CC[C@H]4[C@@H]3C[C@@H](Br)[C@@]2(Br)C1	entailment
1184	COc1ccc(OC)c(C(=O)[C@@H](O)Cc2ccccc2)c1	COc1ccc(OC)c(C(=O)O[C@@H](O)Cc2ccccc2)c1	not_entailment
1185	COc1ccc(OC)c(C(=O)[C@@H](O)Cc2ccccc2)c1	COc1ccc(OC)c(OC(=O)[C@@H](O)Cc2ccccc2)c1	entailment
1186	COC(=O)C(C)(C)Oc1c(C)cc(C(C)=O)cc1C	COC(=O)c1cc(C)c(OC(C)(C)C(=O)OC)c(C)c1	not_entailment
1187	COC(=O)C(C)(C)Oc1c(C)cc(C(C)=O)cc1C	COC(=O)C(C)(C)Oc1c(C)cc(OC(C)=O)cc1C	entailment
1188	O=C(c1ccccc1)C(F)F	O=C(OC(F)F)c1ccccc1	not_entailment
1189	O=C(c1ccccc1)C(F)F	O=C(Oc1ccccc1)C(F)F	entailment
1190	C=CCC(F)(F)C(=O)c1ccc(OC)cc1	C=CCC(F)(F)C(=O)Oc1ccc(OC)cc1	entailment
1191	C=CCC(F)(F)C(=O)c1ccc(OC)cc1	C=CCC(F)(F)OC(=O)c1ccc(OC)cc1	not_entailment
1192	C[C@H]([C@@H](O)[C@H](O)CC(F)(C(F)(F)F)C(F)(F)F)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@H]4C[C@H](O)[C@H](O)C[C@]4(C)[C@H]3CC[C@@]21C	C[C@H]([C@@H](O)[C@H](O)CC(F)(C(F)(F)F)C(F)(F)F)[C@H]1CC[C@H]2[C@@H]3CC(=O)O[C@H]4C[C@H](O)[C@H](O)C[C@]4(C)[C@H]3CC[C@@]21C	not_entailment
1193	C[C@H]([C@@H](O)[C@H](O)CC(F)(C(F)(F)F)C(F)(F)F)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@H]4C[C@H](O)[C@H](O)C[C@]4(C)[C@H]3CC[C@@]21C	C[C@H]([C@@H](O)[C@H](O)CC(F)(C(F)(F)F)C(F)(F)F)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](O)[C@H](O)C[C@]4(C)[C@H]3CC[C@@]21C	entailment
1194	O=C(Cc1ccccc1)C(Cl)c1ccccc1	O=C(Cc1ccccc1)OC(Cl)c1ccccc1	not_entailment
1195	O=C(Cc1ccccc1)C(Cl)c1ccccc1	O=C(OCc1ccccc1)C(Cl)c1ccccc1	entailment
1196	O=C1[C@H]2C=C[C@@H]1[C@H]1[C@@H]2[C@@H](OCc2ccccc2)C[C@H]1OCc1ccccc1	O=C1O[C@@H]2C=C[C@H]1[C@H]1[C@@H](OCc3ccccc3)C[C@@H](OCc3ccccc3)[C@H]12	entailment
1197	O=C1[C@H]2C=C[C@@H]1[C@H]1[C@@H]2[C@@H](OCc2ccccc2)C[C@H]1OCc1ccccc1	O=C1O[C@H]2C=C[C@@H]1[C@@H]1[C@H](OCc3ccccc3)C[C@H](OCc3ccccc3)[C@H]21	not_entailment
1198	COc1ccc(C(C)=O)cc1C	COC(=O)c1ccc(OC)c(C)c1	not_entailment
1199	COc1ccc(C(C)=O)cc1C	COc1ccc(OC(C)=O)cc1C	entailment
1200	Cc1cc2c(cc1C)C(=O)CCC2	Cc1cc2c(cc1C)C(=O)OCCC2	not_entailment
1201	Cc1cc2c(cc1C)C(=O)CCC2	Cc1cc2c(cc1C)OC(=O)CCC2	entailment
1202	C[C@@H]1CC[C@H]2[C@@H]1[C@@H]1[C@H]3CC(=O)[C@H](C3)[C@]21C	C[C@@H]1CC[C@H]2[C@@H]1[C@@H]1[C@H]3CC(=O)O[C@H](C3)[C@]21C	entailment
1203	C[C@@H]1CC[C@H]2[C@@H]1[C@@H]1[C@H]3CC(=O)[C@H](C3)[C@]21C	C[C@@H]1CC[C@H]2[C@@H]1[C@@H]1[C@H]3COC(=O)[C@H](C3)[C@]21C	not_entailment
1204	COc1ccccc1C(=O)[C@H](OC(C)=O)[C@@H](NC(=O)OC(C)(C)C)c1ccccc1	COc1ccccc1C(=O)O[C@H](OC(C)=O)[C@@H](NC(=O)OC(C)(C)C)c1ccccc1	not_entailment
1205	COc1ccccc1C(=O)[C@H](OC(C)=O)[C@@H](NC(=O)OC(C)(C)C)c1ccccc1	COc1ccccc1OC(=O)[C@H](OC(C)=O)[C@@H](NC(=O)OC(C)(C)C)c1ccccc1	entailment
1206	C=C1C[C@@H]2C(=O)[C@H](C1)[C@H]1CCC[C@@H]21	C=C1C[C@@H]2C(=O)O[C@H](C1)[C@H]1CCC[C@@H]21	not_entailment
1207	C=C1C[C@@H]2C(=O)[C@H](C1)[C@H]1CCC[C@@H]21	C=C1C[C@@H]2OC(=O)[C@H](C1)[C@H]1CCC[C@@H]21	entailment
1208	CC(=O)c1ccc2c(c1)[14CH2]C[C@H](CN(CCCCN1C(=O)c3ccccc3S1(=O)=O)Cc1ccccc1)O2	CC(=O)Oc1ccc2c(c1)[14CH2]C[C@H](CN(CCCCN1C(=O)c3ccccc3S1(=O)=O)Cc1ccccc1)O2	entailment
1209	CC(=O)c1ccc2c(c1)[14CH2]C[C@H](CN(CCCCN1C(=O)c3ccccc3S1(=O)=O)Cc1ccccc1)O2	COC(=O)c1ccc2c(c1)[14CH2]C[C@H](CN(CCCCN1C(=O)c3ccccc3S1(=O)=O)Cc1ccccc1)O2	not_entailment
1210	CCOC(=O)[C@H]1[C@@H]2[C@H]3CC(=O)[C@H](C3)[C@H]12	CCOC(=O)[C@@H]1[C@H]2[C@H]3C[C@H](CC(=O)O3)[C@@H]12	entailment
1211	CCOC(=O)[C@H]1[C@@H]2[C@H]3CC(=O)[C@H](C3)[C@H]12	CCOC(=O)[C@H]1[C@@H]2[C@H]3COC(=O)[C@H](C3)[C@H]12	not_entailment
1212	C=C(C)[C@H]1CC[C@@H](C)C(=O)C1	C=C(C)[C@H]1CC[C@@H](C)C(=O)OC1	entailment
1213	C=C(C)[C@H]1CC[C@@H](C)C(=O)C1	C=C(C)[C@H]1CC[C@@H](C)OC(=O)C1	not_entailment
1214	C[C@H]1C[C@H]2O[C@H](CO[Si](C)(C)C)[C@@H](O[Si](C)(C)C)C[C@H]2C1=O	C[C@H]1C[C@H]2O[C@H](CO[Si](C)(C)C)[C@@H](O[Si](C)(C)C)C[C@H]2OC1=O	not_entailment
1215	C[C@H]1C[C@H]2O[C@H](CO[Si](C)(C)C)[C@@H](O[Si](C)(C)C)C[C@H]2C1=O	C[C@H]1C[C@H]2O[C@H](CO[Si](C)(C)C)[C@@H](O[Si](C)(C)C)C[C@H]2C(=O)O1	entailment
1216	C=C(C)[C@H]1CC[C@H](C)C(=O)C1	C=C(C)[C@H]1CC[C@H](C)C(=O)OC1	not_entailment
1217	C=C(C)[C@H]1CC[C@H](C)C(=O)C1	C=C(C)[C@H]1CC[C@H](C)OC(=O)C1	entailment
1218	COc1ccc(C(=O)[C@H]2C[C@@H]2c2ccccc2)cc1	COc1ccc(C(=O)O[C@H]2C[C@@H]2c2ccccc2)cc1	not_entailment
1219	COc1ccc(C(=O)[C@H]2C[C@@H]2c2ccccc2)cc1	COc1ccc(OC(=O)[C@H]2C[C@@H]2c2ccccc2)cc1	entailment
1220	CCCC1CCC(=O)C1	CCCC1CCC(=O)OC1	not_entailment
1221	CCCC1CCC(=O)C1	CCCC1CCOC(=O)C1	entailment
1222	CC(=O)O[C@@H](C)C[C@@H](C[C@@H]1CCCC1=O)OC(C)=O	CC(=O)O[C@@H](C)C[C@@H](C[C@@H]1CCCOC1=O)OC(C)=O	not_entailment
1223	CC(=O)O[C@@H](C)C[C@@H](C[C@@H]1CCCC1=O)OC(C)=O	CC(=O)O[C@@H](C)C[C@@H](C[C@@H]1CCCC(=O)O1)OC(C)=O	entailment
1224	O=C1CCCCC1c1ccc(Cl)cc1	O=C1CCCCC(c2ccc(Cl)cc2)O1	not_entailment
1225	O=C1CCCCC1c1ccc(Cl)cc1	O=C1OCCCCC1c1ccc(Cl)cc1	entailment
1226	CC1=CC[C@H]([C@]2(C)CCC2=O)CC1	CC1=CC[C@H]([C@]2(C)CCOC2=O)CC1	not_entailment
1227	CC1=CC[C@H]([C@]2(C)CCC2=O)CC1	CC1=CC[C@H]([C@]2(C)CCC(=O)O2)CC1	entailment
1228	CC(=O)C(C)(C)C	CC(=O)OC(C)(C)C	entailment
1229	CC(=O)C(C)(C)C	COC(=O)C(C)(C)C	not_entailment
1230	CC(C)CCCC1CCCCC1=O	CC(C)CCCC1CCCCOC1=O	not_entailment
1231	CC(C)CCCC1CCCCC1=O	CC(C)CCCC1CCCCC(=O)O1	entailment
1232	CC1(C)OC[C@H]([C@H](O)[C@@H]2C(=O)[C@@H]3O[C@H]2[C@H]2OC(C)(C)O[C@@H]32)O1	CC1(C)OC[C@H]([C@H](O)[C@@H]2C(=O)O[C@@H]3O[C@H]2[C@H]2OC(C)(C)O[C@@H]32)O1	entailment
1233	CC1(C)OC[C@H]([C@H](O)[C@@H]2C(=O)[C@@H]3O[C@H]2[C@H]2OC(C)(C)O[C@@H]32)O1	CC1(C)OC[C@H]([C@H](O)[C@@H]2OC(=O)[C@@H]3O[C@H]2[C@H]2OC(C)(C)O[C@@H]32)O1	not_entailment
1234	COC(=O)C(C(=O)OC)[C@H]1[C@H]2CO[C@@H]1CC2=O	COC(=O)C(C(=O)OC)[C@@H]1[C@H]2COC(=O)[C@@H]1CO2	not_entailment
1235	COC(=O)C(C(=O)OC)[C@H]1[C@H]2CO[C@@H]1CC2=O	COC(=O)C(C(=O)OC)[C@H]1[C@H]2CO[C@@H]1CC(=O)O2	entailment
1236	O=C1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]	O=C1CO[C@@H]2[C@H](O[N+](=O)[O-])CO[C@@H]2O1	entailment
1237	O=C1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]	O=C1OCO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]	not_entailment
1238	COC(=O)C(C)(C)C1(C)CCC(=O)c2ccc(C)cc21	COC(=O)C(C)(C)C1(C)CCC(=O)Oc2ccc(C)cc21	entailment
1239	COC(=O)C(C)(C)C1(C)CCC(=O)c2ccc(C)cc21	COC(=O)C(C)(C)C1(C)CCOC(=O)c2ccc(C)cc21	not_entailment
1240	CC(=O)O[C@H]1CCC[C@@]2(O)CC[C@@]3(C)C(=O)CC[C@@H]3[C@@H]12	CC(=O)O[C@H]1CCC[C@@]2(O)CC[C@@]3(C)C(=O)OCC[C@@H]3[C@@H]12	not_entailment
1241	CC(=O)O[C@H]1CCC[C@@]2(O)CC[C@@]3(C)C(=O)CC[C@@H]3[C@@H]12	CC(=O)O[C@H]1CCC[C@@]2(O)CC[C@@]3(C)OC(=O)CC[C@@H]3[C@@H]12	entailment
1242	COc1c([C@H]2C[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@@H](C)O2)ccc2c1C(=O)C2OC	COc1c([C@H]2C[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@@H](C)O2)ccc2c1C(=O)OC2OC	entailment
1243	COc1c([C@H]2C[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@@H](C)O2)ccc2c1C(=O)C2OC	COc1c([C@H]2C[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@@H](C)O2)ccc2c1OC(=O)C2OC	not_entailment
1244	O=C1c2ccccc2C12CCCCC2	O=C1OC2(CCCCC2)c2ccccc21	entailment
1245	O=C1c2ccccc2C12CCCCC2	O=C1Oc2ccccc2C12CCCCC2	not_entailment
1246	COC(=O)C[C@H]1C[C@H]2C(=O)CCC[C@H]2O1	COC(=O)C[C@H]1C[C@H]2C(=O)OCCC[C@H]2O1	entailment
1247	COC(=O)C[C@H]1C[C@H]2C(=O)CCC[C@H]2O1	COC(=O)C[C@H]1C[C@H]2OC(=O)CCC[C@H]2O1	not_entailment
1248	Cc1cccc([C@@H]2CC(=O)C[C@H](c3cccc(C)c3)C2)c1	Cc1cccc([C@H]2COC(=O)C[C@@H](c3cccc(C)c3)C2)c1	not_entailment
1249	Cc1cccc([C@@H]2CC(=O)C[C@H](c3cccc(C)c3)C2)c1	Cc1cccc([C@@H]2COC(=O)C[C@H](c3cccc(C)c3)C2)c1	entailment
1250	CC[C@@H]1CC(=O)C[C@H]1O	CC[C@@H]1CC(=O)OC[C@H]1O	not_entailment
1251	CC[C@@H]1CC(=O)C[C@H]1O	CC[C@@H]1COC(=O)C[C@H]1O	entailment
1252	COCO[C@H](c1ccccc1)[C@H](OCOC)[C@H]1CCCC1=O	COCO[C@H](c1ccccc1)[C@H](OCOC)[C@H]1CCCOC1=O	not_entailment
1253	COCO[C@H](c1ccccc1)[C@H](OCOC)[C@H]1CCCC1=O	COCO[C@H](c1ccccc1)[C@H](OCOC)[C@H]1CCCC(=O)O1	entailment
1254	CC(=O)CC(CC(=O)O)[Si](C)(C)c1ccccc1	CC(=O)OCC(CC(=O)O)[Si](C)(C)c1ccccc1	entailment
1255	CC(=O)CC(CC(=O)O)[Si](C)(C)c1ccccc1	COC(=O)CC(CC(=O)O)[Si](C)(C)c1ccccc1	not_entailment
1256	O=C(c1ccccc1)[C@](F)(Cc1ccccc1)c1ccccc1	O=C(O[C@](F)(Cc1ccccc1)c1ccccc1)c1ccccc1	entailment
1257	O=C(c1ccccc1)[C@](F)(Cc1ccccc1)c1ccccc1	O=C(Oc1ccccc1)[C@](F)(Cc1ccccc1)c1ccccc1	not_entailment
1258	CC(=O)[C@H]1NC(=O)[C@@H]1[C@@H](C)O[Si](C)(C)C(C)(C)C	CC(=O)O[C@H]1NC(=O)[C@@H]1[C@@H](C)O[Si](C)(C)C(C)(C)C	entailment
1259	CC(=O)[C@H]1NC(=O)[C@@H]1[C@@H](C)O[Si](C)(C)C(C)(C)C	COC(=O)[C@H]1NC(=O)[C@@H]1[C@@H](C)O[Si](C)(C)C(C)(C)C	not_entailment
1260	O=C1CC[C@@]12c1cccc(F)c1CC[C@H]2F	O=C1CC[C@]2(O1)c1cccc(F)c1CC[C@H]2F	entailment
1261	O=C1CC[C@@]12c1cccc(F)c1CC[C@H]2F	O=C1OCC[C@@]12c1cccc(F)c1CC[C@H]2F	not_entailment
1262	COc1ccc(C(=O)C(F)(F)C(F)(F)F)cc1	COc1ccc(C(=O)OC(F)(F)C(F)(F)F)cc1	not_entailment
1263	COc1ccc(C(=O)C(F)(F)C(F)(F)F)cc1	COc1ccc(OC(=O)C(F)(F)C(F)(F)F)cc1	entailment
1264	CO[C@H]1[C@@H](C)C(=O)[C@@H]2OC(C)(C)O[C@@H]2[C@@H]1C	CO[C@H]1[C@@H](C)C(=O)O[C@@H]2OC(C)(C)O[C@@H]2[C@@H]1C	entailment
1265	CO[C@H]1[C@@H](C)C(=O)[C@@H]2OC(C)(C)O[C@@H]2[C@@H]1C	CO[C@H]1[C@@H](C)OC(=O)[C@@H]2OC(C)(C)O[C@@H]2[C@@H]1C	not_entailment
1266	CC(C)(C)[Si](OCC1CCCC1=O)(c1ccccc1)c1ccccc1	CC(C)(C)[Si](OCC1CCCOC1=O)(c1ccccc1)c1ccccc1	not_entailment
1267	CC(C)(C)[Si](OCC1CCCC1=O)(c1ccccc1)c1ccccc1	CC(C)(C)[Si](OCC1CCCC(=O)O1)(c1ccccc1)c1ccccc1	entailment
1268	CC(=O)[C@H]1C[C@H](F)[C@@]2(C)O[C@H]2C1	CC(=O)O[C@H]1C[C@H](F)[C@@]2(C)O[C@H]2C1	entailment
1269	CC(=O)[C@H]1C[C@H](F)[C@@]2(C)O[C@H]2C1	COC(=O)[C@H]1C[C@H](F)[C@@]2(C)O[C@H]2C1	not_entailment
1270	COc1ccc2c(c1)CCCC2=O	COc1ccc2c(c1)CCCOC2=O	not_entailment
1271	COc1ccc2c(c1)CCCC2=O	COc1ccc2c(c1)CCCC(=O)O2	entailment
1272	O=C1C[C@@]2(c3ccccc3)CCCC[C@@H]12	O=C1C[C@@]2(c3ccccc3)CCCC[C@H]2O1	entailment
1273	O=C1C[C@@]2(c3ccccc3)CCCC[C@@H]12	O=C1OC[C@@]2(c3ccccc3)CCCC[C@@H]12	not_entailment
1274	CC(=O)O[C@@H]1C[C@H]2[C@@H]3C[C@@H]4O[C@]5(CC[C@@H](C)CO5)[C@@H](C)[C@@H]4[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C[C@H]12	CC(=O)O[C@@H]1C[C@H]2[C@@H]3C[C@@H]4O[C@]5(CC[C@@H](C)CO5)[C@@H](C)[C@@H]4[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)OC[C@H]12	not_entailment
1275	CC(=O)O[C@@H]1C[C@H]2[C@@H]3C[C@@H]4O[C@]5(CC[C@@H](C)CO5)[C@@H](C)[C@@H]4[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C[C@H]12	CC(=O)O[C@@H]1C[C@H]2[C@@H]3C[C@@H]4O[C@]5(CC[C@@H](C)CO5)[C@@H](C)[C@@H]4[C@@]3(C)CC[C@@H]2[C@@]2(C)CCOC(=O)C[C@H]12	entailment
1276	CCCCCCCC1CC(=O)CO1	CCCCCCCC1CC(=O)OCO1	entailment
1277	CCCCCCCC1CC(=O)CO1	CCCCCCCC1COC(=O)CO1	not_entailment
1278	CC[C@H]1CC(=O)C[C@H]1O	CC[C@H]1CC(=O)OC[C@H]1O	not_entailment
1279	CC[C@H]1CC(=O)C[C@H]1O	CC[C@H]1COC(=O)C[C@H]1O	entailment
1280	CC1(C)C(=O)C[C@]2(C)C[C@H](O)[C@H]12	CC1(C)C(=O)OC[C@]2(C)C[C@H](O)[C@H]12	not_entailment
1281	CC1(C)C(=O)C[C@]2(C)C[C@H](O)[C@H]12	CC1(C)OC(=O)C[C@]2(C)C[C@H](O)[C@H]12	entailment
1282	O=C1CCCCC1CCCOC1CCCCCCCCCCC1	O=C1CCCCC(CCCOC2CCCCCCCCCCC2)O1	entailment
1283	O=C1CCCCC1CCCOC1CCCCCCCCCCC1	O=C1OCCCCC1CCCOC1CCCCCCCCCCC1	not_entailment
1284	CC(=O)O[C@H]1C[C@@H]2C(=O)C[C@H]3[C@@H]4CC[C@H](OC(=O)c5ccccc5)[C@@]4(C)CC[C@@H]3[C@@]2(C)C[C@H]1OC(C)=O	CC(=O)O[C@H]1C[C@@H]2C(=O)OC[C@H]3[C@@H]4CC[C@H](OC(=O)c5ccccc5)[C@@]4(C)CC[C@@H]3[C@@]2(C)C[C@H]1OC(C)=O	entailment
1285	CC(=O)O[C@H]1C[C@@H]2C(=O)C[C@H]3[C@@H]4CC[C@H](OC(=O)c5ccccc5)[C@@]4(C)CC[C@@H]3[C@@]2(C)C[C@H]1OC(C)=O	CC(=O)O[C@H]1C[C@@H]2OC(=O)C[C@H]3[C@@H]4CC[C@H](OC(=O)c5ccccc5)[C@@]4(C)CC[C@@H]3[C@@]2(C)C[C@H]1OC(C)=O	not_entailment
1286	CC(C)[C@H]1CC[C@H](C)CC1=O	CC(C)[C@H]1CC[C@H](C)COC1=O	not_entailment
1287	CC(C)[C@H]1CC[C@H](C)CC1=O	CC(C)[C@H]1CC[C@H](C)CC(=O)O1	entailment
1288	C=C[C@@H]1C[C@@H]2C(=O)CC[C@@H]2O1	C=C[C@@H]1C[C@@H]2C(=O)OCC[C@@H]2O1	not_entailment
1289	C=C[C@@H]1C[C@@H]2C(=O)CC[C@@H]2O1	C=C[C@@H]1C[C@@H]2OC(=O)CC[C@@H]2O1	entailment
1290	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)C1C(=O)[C@H]2O[C@@H]1[C@@H]1OC(C)(C)O[C@H]21	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)C1C(=O)O[C@H]2O[C@@H]1[C@@H]1OC(C)(C)O[C@@H]12	entailment
1291	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)C1C(=O)[C@H]2O[C@@H]1[C@@H]1OC(C)(C)O[C@H]21	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)C1OC(=O)[C@H]2O[C@@H]1[C@@H]1OC(C)(C)O[C@H]21	not_entailment
1292	CC(=O)c1ccc([18F])c(C[C@H]2C(=O)N(C)[C@H](C(C)(C)C)N2C(=O)OC(C)(C)C)c1	CC(=O)Oc1ccc([18F])c(C[C@H]2C(=O)N(C)[C@H](C(C)(C)C)N2C(=O)OC(C)(C)C)c1	entailment
1293	CC(=O)c1ccc([18F])c(C[C@H]2C(=O)N(C)[C@H](C(C)(C)C)N2C(=O)OC(C)(C)C)c1	COC(=O)c1ccc([18F])c(C[C@H]2C(=O)N(C)[C@H](C(C)(C)C)N2C(=O)OC(C)(C)C)c1	not_entailment
1294	COC(=O)C(C)(C)Oc1ccc(C(C)=O)cc1F	COC(=O)c1ccc(OC(C)(C)C(=O)OC)c(F)c1	not_entailment
1295	COC(=O)C(C)(C)Oc1ccc(C(C)=O)cc1F	COC(=O)C(C)(C)Oc1ccc(OC(C)=O)cc1F	entailment
1296	CO[C@](C)(CCCOCOCC[Si](C)(C)C)[C@@H]1C[C@H](CO[Si](C)(C)C(C)(C)C)CC1=O	CO[C@](C)(CCCOCOCC[Si](C)(C)C)[C@@H]1C[C@H](CO[Si](C)(C)C(C)(C)C)COC1=O	not_entailment
1297	CO[C@](C)(CCCOCOCC[Si](C)(C)C)[C@@H]1C[C@H](CO[Si](C)(C)C(C)(C)C)CC1=O	CO[C@](C)(CCCOCOCC[Si](C)(C)C)[C@@H]1C[C@H](CO[Si](C)(C)C(C)(C)C)CC(=O)O1	entailment
1298	CC(C)(C)[Si](OCC[C@@H]1CCCCC1=O)(c1ccccc1)c1ccccc1	CC(C)(C)[Si](OCC[C@@H]1CCCCOC1=O)(c1ccccc1)c1ccccc1	not_entailment
1299	CC(C)(C)[Si](OCC[C@@H]1CCCCC1=O)(c1ccccc1)c1ccccc1	CC(C)(C)[Si](OCC[C@@H]1CCCCC(=O)O1)(c1ccccc1)c1ccccc1	entailment
1300	O=C1CCCC2CCCCC12	O=C1CCCC2CCCCC2O1	not_entailment
1301	O=C1CCCC2CCCCC12	O=C1OCCCC2CCCCC12	entailment
1302	[2H]C([2H])([2H])C(C)[C@H](C)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@H]4CC(OC(C)=O)CC[C@]4(C)[C@H]3CC[C@@]21C	[2H]C([2H])([2H])C(C)[C@H](C)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC(=O)O[C@H]4CC(OC(C)=O)CC[C@]4(C)[C@H]3CC[C@@]21C	not_entailment
1303	[2H]C([2H])([2H])C(C)[C@H](C)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@H]4CC(OC(C)=O)CC[C@]4(C)[C@H]3CC[C@@]21C	[2H]C([2H])([2H])C(C)[C@H](C)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4CC(OC(C)=O)CC[C@]4(C)[C@H]3CC[C@@]21C	entailment
1304	COc1ccc(C(=O)C[C@H](c2ccccc2)n2nnc3ccccc32)cc1	COc1ccc(C(=O)OC[C@H](c2ccccc2)n2nnc3ccccc32)cc1	not_entailment
1305	COc1ccc(C(=O)C[C@H](c2ccccc2)n2nnc3ccccc32)cc1	COc1ccc(OC(=O)C[C@H](c2ccccc2)n2nnc3ccccc32)cc1	entailment
1306	COc1ccc(C(=O)C(F)(F)[C@@]2(CC#N)C(=O)Nc3ccccc32)cc1	COc1ccc(C(=O)OC(F)(F)[C@@]2(CC#N)C(=O)Nc3ccccc32)cc1	not_entailment
1307	COc1ccc(C(=O)C(F)(F)[C@@]2(CC#N)C(=O)Nc3ccccc32)cc1	COc1ccc(OC(=O)C(F)(F)[C@@]2(CC#N)C(=O)Nc3ccccc32)cc1	entailment
1308	CC(=O)C(C)c1ccccc1	CC(=O)OC(C)c1ccccc1	entailment
1309	CC(=O)C(C)c1ccccc1	COC(=O)C(C)c1ccccc1	not_entailment
1310	CCOP(=O)(OCC)[C@](C)(CCC(=O)c1ccc(C)cc1)[N+](=O)[O-]	CCOP(=O)(OCC)[C@](C)(CCC(=O)Oc1ccc(C)cc1)[N+](=O)[O-]	entailment
1311	CCOP(=O)(OCC)[C@](C)(CCC(=O)c1ccc(C)cc1)[N+](=O)[O-]	CCOP(=O)(OCC)[C@](C)(CCOC(=O)c1ccc(C)cc1)[N+](=O)[O-]	not_entailment
1312	C=C1C[C@@H]2C[C@H]3CCC[C@@]3(C1)C2=O	C=C1C[C@@H]2C[C@H]3CCC[C@@]3(C1)OC2=O	entailment
1313	C=C1C[C@@H]2C[C@H]3CCC[C@@]3(C1)C2=O	C=C1C[C@@H]2C[C@H]3CCC[C@@]3(C1)C(=O)O2	not_entailment
1314	COCOc1cc2c(cc1C(C)=O)C1(CO2)C(=O)N(C(c2ccccc2)c2ccccc2)c2ccccc21	COCOc1cc2c(cc1C(=O)OC)C1(CO2)C(=O)N(C(c2ccccc2)c2ccccc2)c2ccccc21	not_entailment
1315	COCOc1cc2c(cc1C(C)=O)C1(CO2)C(=O)N(C(c2ccccc2)c2ccccc2)c2ccccc21	COCOc1cc2c(cc1OC(C)=O)C1(CO2)C(=O)N(C(c2ccccc2)c2ccccc2)c2ccccc21	entailment
1316	CC(=O)O[C@H]1CC[C@]2(C)C(=O)CC[C@@H]2C1(C)C	CC(=O)O[C@H]1CC[C@]2(C)C(=O)OCC[C@@H]2C1(C)C	not_entailment
1317	CC(=O)O[C@H]1CC[C@]2(C)C(=O)CC[C@@H]2C1(C)C	CC(=O)O[C@H]1CC[C@]2(C)OC(=O)CC[C@@H]2C1(C)C	entailment
